 ,Label,Area,Mean,Min,Max,Angle,Slice,Length
1,CIL2878_fluorescence_stack.tif:6.333333 s,14,200.267,129.370,255.000,-6.155,39,12.824
2,CIL2878_fluorescence_stack.tif:6.500000 s,18,184.310,59.845,255.000,-13.120,40,17.071
3,CIL2878_fluorescence_stack.tif:6.666666 s,21,161.212,97.436,255.000,-10.555,41,20.471
4,CIL2878_fluorescence_stack.tif:6.833333 s,26,155.385,61.994,255.000,-5.221,42,24.728
5,CIL2878_fluorescence_stack.tif:7.000000 s,26,172.667,101.806,255.000,-18.435,43,25.298
6,CIL2878_fluorescence_stack.tif:7.166666 s,29,163.271,85.401,255.000,-3.883,44,27.689
7,CIL2878_fluorescence_stack.tif:7.333333 s,29,166.806,90.866,255.000,-1.822,45,27.514
8,CIL2878_fluorescence_stack.tif:7.500000 s,31,176.163,120.875,255.000,-20.780,46,29.948
9,CIL2878_fluorescence_stack.tif:7.666666 s,31,145.482,58.978,255.000,-8.496,47,30.459
10,CIL2878_fluorescence_stack.tif:7.833333 s,33,132.933,43.359,255.000,4.450,48,32.222
11,CIL2878_fluorescence_stack.tif:8.000000 s,34,150.430,55.780,255.000,-12.065,49,33.490
12,CIL2878_fluorescence_stack.tif:8.166666 s,34,141.284,56.708,255.000,-12.339,50,32.757
13,CIL2878_fluorescence_stack.tif:8.333333 s,36,163.027,82.803,255.000,-4.399,51,34.769
14,CIL2878_fluorescence_stack.tif:8.500000 s,37,135.891,72.907,255.000,-4.720,52,36.457
15,CIL2878_fluorescence_stack.tif:8.666666 s,36,141.349,56.453,255.000,-10.720,53,34.943
16,CIL2878_fluorescence_stack.tif:8.833333 s,38,135.550,27.280,255.000,-14.797,54,36.545
17,CIL2878_fluorescence_stack.tif:9.000000 s,39,138.808,77.384,255.000,-10.666,55,37.820
18,CIL2878_fluorescence_stack.tif:9.166666 s,40,121.099,62.627,254.908,-8.896,56,38.800
19,CIL2878_fluorescence_stack.tif:9.333333 s,41,157.257,96.191,255.000,-11.263,57,40.106
